"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","key_press","button_pressed","stim_onset","sequence_position","distractor_position","target_lag","distractor_type","target_orientation","phase","correct"
"4243.2999999999765","{""Q0"":""04""}","survey-text","0","4248","0.0-0.0","04","","","","","","","","","","",""
"1999026.1","","html-keyboard-response","1","2003285","0.0-1.0","04","Welcome to the experiment.","67","","","","","","","","",""
"29658.100000000326","","html-button-response","2","2032947","0.0-2.0","04","<p>Several images will be presented sequentially.        Each image will only be on the screen for about 100 milliseconds.</p>        <p> One of the images may be rotated 90 degrees right or left.        Watch for this image and remember if it is rotated right or left.</p>               <p>Images of people and animals will appear, and sometimes they will be unpleasant.        These will never be the rotated target image.</p>","","0","","","","","","","",""
"2262.100000000093","","html-button-response","3","2035210","0.0-3.0","04","<p><img class=""stimulus left-rotate"" src=""images/target/buildin2.png""></img></p><p>This is an example of an image rotated to the left.</p>","","0","","","","","","","",""
"1182.8000000000466","","html-button-response","4","2036394","0.0-4.0","04","<p><img class=""stimulus"" src=""images/target/building2.jpg""></img></p><p>This is an example of an image rotated to the right.</p>","","0","","","","","","","",""
"9207","","html-button-response","5","2045602","0.0-5.0","04","<p>We will now begin a short practice session.</p>         <p>A + symbol will appear in the middle of the screen. Please fix your gaze on the center of the +, and then click the mouse button to begin the image sequence.</p>         <p>Please avoid blinking or eye movements while the images are on the screen.</p>        <p>The image sequence will start relatively slow. After a few sequences, it will speed up.</p>","","0","","","","","","","",""
"15374.699999999953","","html-button-response","6","2060978","0.0-6.0-0.0","04","","","0","","","","","","","",""
"null","","html-keyboard-response","7","2061156","0.0-6.0-1.0","04","<p><img class= 'stimulus' src='images/baseline/03041v.jpg'></img></p>","null","","1549582368101","","","","","","",""
"null","","html-keyboard-response","8","2061355","0.0-6.0-2.0","04","<p><img class= 'stimulus' src='images/baseline/05280v.jpg'></img></p>","null","","1549582368300","","","","","","",""
"null","","html-keyboard-response","9","2061555","0.0-6.0-3.0","04","<p><img class= 'stimulus' src='images/baseline/05189v.jpg'></img></p>","null","","1549582368503","","","","","","",""
"null","","html-keyboard-response","10","2061756","0.0-6.0-4.0","04","<p><img class= 'stimulus' src='images/baseline/04021v.jpg'></img></p>","null","","1549582368701","4","","","","","",""
"null","","html-keyboard-response","11","2061958","0.0-6.0-5.0","04","<p><img class= 'stimulus' src='images/baseline/farmhouse6.jpg'></img></p>","null","","1549582368902","","","","","","",""
"null","","html-keyboard-response","12","2062156","0.0-6.0-6.0","04","<p><img class= 'stimulus' src='images/baseline/Street 4.jpg'></img></p>","null","","1549582369103","6","","","","","",""
"null","","html-keyboard-response","13","2062358","0.0-6.0-7.0","04","<p><img class= 'stimulus' src='images/baseline/Skyscraper 1.jpg'></img></p>","null","","1549582369303","","","","","","",""
