Category	Segment number	Segment Good	Eye Blinks	Eye Movements	Bad Channels
Lag2Baseline	1	false	false	false	33, 44, 76, 77, 78, 79, 89, 90, 91, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 107, 109, 110, 116, 123
Lag2Baseline	2	false	false	false	33, 38, 44, 95, 96, 97, 98, 99, 100, 101, 102, 103, 107, 109, 110, 116, 121, 123
Lag2Baseline	3	false	false	true	33, 44, 77, 95, 96, 97, 98, 100, 101, 102, 103, 107, 109, 110, 116, 123, 128
Lag2Baseline	4	false	false	true	33, 44, 95, 96, 97, 98, 99, 100, 101, 102, 103, 107, 109, 110, 116, 123, 128
Lag2Baseline	5	false	false	false	33, 38, 44, 89, 90, 91, 94, 96, 97, 98, 102, 103, 109, 110, 116, 123
Lag2Baseline	6	false	false	false	33, 38, 44, 89, 90, 91, 94, 96, 97, 98, 102, 103, 109, 110, 121, 123
Lag2Baseline	7	false	false	true	33, 38, 44, 89, 90, 91, 94, 96, 97, 98, 102, 103, 110, 121, 123
Lag2Baseline	8	false	true	true	32, 33, 38, 44, 89, 90, 91, 94, 96, 97, 98, 102, 103, 110, 121, 123, 127, 128
Lag2Baseline	9	false	false	false	33, 38, 44, 96, 97, 98, 102, 103, 110, 121, 123
Lag2Baseline	10	false	false	false	33, 38, 44, 89, 90, 91, 94, 96, 97, 98, 102, 103, 110, 121, 123
Lag2Baseline	11	false	false	false	33, 38, 44, 96, 97, 98, 102, 103, 110, 121, 123
Lag2Baseline	12	false	false	false	33, 38, 44, 89, 90, 91, 94, 96, 97, 98, 102, 103, 110, 121, 123
Lag2Baseline	13	false	true	true	17, 21, 33, 38, 44, 77, 89, 90, 94, 96, 97, 98, 102, 103, 110, 114, 121, 123
Lag2Baseline	14	false	false	false	33, 38, 44, 89, 90, 91, 94, 96, 97, 98, 102, 103, 110, 114, 121, 123
Lag2Baseline	15	false	false	false	33, 38, 44, 89, 90, 91, 94, 96, 97, 98, 102, 103, 110, 121, 123
Lag2Baseline	16	false	false	true	33, 38, 44, 96, 97, 98, 102, 103, 110, 119, 121, 123, 125
Lag2Baseline	17	false	false	false	33, 38, 44, 89, 90, 94, 96, 97, 98, 102, 103, 110, 114, 121, 123
Lag2Baseline	18	false	false	false	33, 38, 44, 89, 90, 94, 96, 97, 98, 102, 103, 110, 114, 121, 123
Lag2Baseline	19	false	false	false	33, 38, 44, 89, 90, 91, 94, 96, 97, 98, 102, 103, 110, 114, 121, 123
Lag2Baseline	20	false	false	false	33, 38, 44, 65, 89, 90, 91, 94, 96, 97, 98, 102, 103, 110, 114, 121, 123
