electrode,x,y,z
1,5.861969,6.90855,-2.161116
2,5.274655,8.06784,1.529019
3,4.225366,8.570072,4.450211
4,3.081069,8.026569,6.522391
5,1.463509,6.366869,8.410785
6,0,4.562773,9.493018
7,-1.304295,1.914243,9.891028
8,4.08272,9.678741,-0.03163
9,3.025958,10.157802,2.7648
10,2.126242,9.739288,4.978802
11,0,8.67728,6.979633
12,-1.463509,6.366869,8.410785
13,-2.583864,3.816141,9.04942
14,1.529726,10.936124,0.821268
15,0,10.873174,3.056107
16,0,10.0612,5.119722
17,0,10.904202,-0.720131
18,-2.126242,9.739288,4.978802
19,-3.081069,8.026569,6.522391
20,-4.159676,5.760274,7.317179
21,-1.529726,10.936124,0.821268
22,-3.025958,10.157802,2.7648
23,-4.225366,8.570072,4.450211
24,-4.84924,6.892101,5.558394
25,-4.08272,9.678741,-0.03163
26,-5.274655,8.06784,1.529019
27,-5.942324,6.400981,3.711308
28,-5.875695,4.835249,5.750576
29,-5.090677,3.250565,7.547513
30,-4.078616,1.523267,8.860023
31,-2.134794,-0.607885,9.905024
32,-5.861969,6.90855,-2.161116
33,-6.58822,5.241136,0.152379
34,-7.149285,3.779881,3.039979
35,-6.738507,2.198211,5.571098
36,-5.899916,0.739714,7.393921
37,-4.209079,-1.236778,8.945298
38,-6.668936,4.879605,-3.365095
39,-7.306262,2.199655,-0.570051
40,-7.707713,1.167556,2.696085
41,-7.290595,-0.20638,5.180479
42,-6.369709,-1.854917,6.764427
43,-6.575742,3.983536,-5.785482
44,-7.036793,2.521882,-3.848071
45,-7.493498,-0.541125,-0.222036
46,-7.727195,-1.347155,2.877221
47,-7.218689,-2.311649,4.737089
48,-5.762772,3.988894,-8.800097
49,-6.443947,1.581596,-6.676675
50,-7.239724,-3.049613,0.207971
51,-7.111987,-3.922121,3.308298
52,-6.319019,-4.05766,5.683964
53,-4.579615,-3.800338,7.904517
54,-2.547923,-3.426645,9.27031
55,0,-2.168092,10.110673
56,-6.268773,-1.212133,-5.851119
57,-6.776796,-2.921921,-2.828143
58,-6.430412,-5.281598,0.674316
59,-5.921679,-5.879405,3.625675
60,-4.511178,-5.792145,6.288929
61,-2.413986,-5.359725,8.076692
62,0,-6.451514,7.596752
63,-5.380691,-3.699973,-5.352855
64,-5.467243,-5.379627,-2.359213
65,-5.017709,-6.921793,0.775822
66,-3.986584,-7.368301,3.964296
67,-2.103807,-7.098199,6.297795
68,-3.487977,-5.920014,-4.802984
69,-3.739573,-6.96916,-2.249022
70,-2.681173,-8.433656,0.938253
71,-1.382882,-8.347037,4.212737
72,0,-7.673003,5.76178
73,-1.846245,-6.831121,-4.711667
74,-1.337942,-7.975281,-2.038608
75,0,-8.823216,1.182459
76,1.382882,-8.347037,4.212737
77,2.103807,-7.098199,6.297795
78,2.413986,-5.359725,8.076692
79,2.547923,-3.426645,9.27031
80,2.134794,-0.607885,9.905024
81,0,-7.020491,-4.648672
82,1.337942,-7.975281,-2.038608
83,2.681173,-8.433656,0.938253
84,3.986584,-7.368301,3.964296
85,4.511178,-5.792145,6.288929
86,4.579615,-3.800338,7.904517
87,4.209079,-1.236778,8.945298
88,1.846245,-6.831121,-4.711667
89,3.739573,-6.96916,-2.249022
90,5.017709,-6.921793,0.775822
91,5.921679,-5.879405,3.625675
92,6.319019,-4.05766,5.683964
93,6.369709,-1.854917,6.764427
94,3.487977,-5.920014,-4.802984
95,5.467243,-5.379627,-2.359213
96,6.430412,-5.281598,0.674316
97,7.111987,-3.922121,3.308298
98,7.218689,-2.311649,4.737089
99,5.380691,-3.699973,-5.352855
100,6.776796,-2.921921,-2.828143
101,7.239724,-3.049613,0.207971
102,7.727195,-1.347155,2.877221
103,7.290595,-0.20638,5.180479
104,5.899916,0.739714,7.393921
105,4.078616,1.523267,8.860023
106,1.304295,1.914243,9.891028
107,6.268773,-1.212133,-5.851119
108,7.493498,-0.541125,-0.222036
109,7.707713,1.167556,2.696085
110,6.738507,2.198211,5.571098
111,5.090677,3.250565,7.547513
112,2.583864,3.816141,9.04942
113,6.443947,1.581596,-6.676675
114,7.036793,2.521882,-3.848071
115,7.306262,2.199655,-0.570051
116,7.149285,3.779881,3.039979
117,5.875695,4.835249,5.750576
118,4.159676,5.760274,7.317179
119,5.762772,3.988894,-8.800097
120,6.575742,3.983536,-5.785482
121,6.668936,4.879605,-3.365095
122,6.58822,5.241136,0.152379
123,5.942324,6.400981,3.711308
124,4.84924,6.892101,5.558394
125,6.101149,6.060231,-4.896878
126,4.093812,8.626609,-5.66152
127,-4.093812,8.626609,-5.66152
128,-6.101149,6.060231,-4.896878
129,0,0,10.265399
